CIDADE,REG_ADM,ANO,MES,DESC_MES,SEXO,TURNO,TIPO,VEIC,FAIX_ETAR,IDADE,HORA,VITIMA,LOCAL,DIA_SEM,VIA,LAT,LONG,NOME,geometry
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,60-64,62,,PEDESTRE,PUBLICO,SEXTA,Vias Municipais,-23.881504999999997,-46.741292,ESTRADA ENGENHEIRO MARCILAC,POINT (-5203216.824459713 -2738975.611135003)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,FEMININO,NOITE,ATROPELAMENTO,PEDESTRE,55-59,55,,PEDESTRE,PUBLICO,DOMINGO,Vias Municipais,-23.758557999999997,-46.714914,AVENIDA SENADOR TEOTONIO VILELA,POINT (-5200280.438931565 -2724014.828540328)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,NOITE,ATROPELAMENTO,MOTOCICLETA,30-34,32,,CONDUTOR,PUBLICO,DOMINGO,Vias Municipais,-23.758557999999997,-46.714914,AVENIDA SENADOR TEOTONIO VILELA,POINT (-5200280.438931565 -2724014.828540328)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,MANHA,CHOQUE,MOTOCICLETA,25-29,29,,CONDUTOR,PUBLICO,DOMINGO,Vias Municipais,-23.508514,-46.687749,AVENIDA OTAVIANO ALVES DE LIMA,POINT (-5197256.444964168 -2693631.744599651)
GUARULHOS,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,MADRUGADA,CHOQUE,MOTOCICLETA,18-24,21,,CONDUTOR,PUBLICO,QUINTA,Rodovias,-23.49318666,-46.55216269,BR 116,POINT (-5182163.045976427 -2691771.187424186)
GUARULHOS,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,MADRUGADA,ATROPELAMENTO,PEDESTRE,25-29,28,,PEDESTRE,PUBLICO,DOMINGO,Rodovias,-23.4986729,-46.56016210000001,BR 116,POINT (-5183053.536224276 -2692437.126982854)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,MADRUGADA,ATROPELAMENTO,PEDESTRE,30-34,32,,PEDESTRE,PUBLICO,TERÇA,Vias Municipais,-23.494536,-46.575516,AVENIDA PROFESSOR CASTRO JUNIOR,POINT (-5184762.724553967 -2691934.972599817)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,NOITE,NAO DISPONIVEL,MOTOCICLETA,65-69,69,,CONDUTOR,PUBLICO,QUINTA,Vias Municipais,-23.496914,-46.686372,RUA SANTA ANGELA VIA PUBLICA,POINT (-5197103.158025345 -2692223.622350706)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,FEMININO,TARDE,ATROPELAMENTO,PEDESTRE,40-44,40,,PEDESTRE,PUBLICO,TERÇA,Vias Municipais,-23.477424,-46.605709999999995,RUA AUSONIA,POINT (-5188123.905258976 -2689858.013201609)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,MADRUGADA,CHOQUE,AUTOMOVEL,18-24,23,,PASSAGEIRO,PUBLICO,DOMINGO,Vias Municipais,-23.539254,-46.544389,AVENIDA ARICANDUVA,POINT (-5181297.682764044 -2697363.868537176)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,45-49,46,,PEDESTRE,PUBLICO,SÁBADO,Vias Municipais,-23.482885,-46.492987,AVENIDA DOUTOR ASSIS RIBEIRO,POINT (-5175575.638298286 -2690520.809730653)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,FEMININO,NOITE,COLISAO,AUTOMOVEL,40-44,41,,PASSAGEIRO,PUBLICO,QUINTA,Vias Municipais,-23.485982999999997,-46.502466999999996,AVENIDA DOUTOR ASSIS RIBEIRO ESQ.R.FLOR CARNAVAL,POINT (-5176630.947071007 -2690896.823331985)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,TARDE,COLISAO,MOTOCICLETA,25-29,27,,CONDUTOR,PUBLICO,TERÇA,Vias Municipais,-23.545197,-46.580146,AVENIDA SALIM FARAH MALUF,POINT (-5185278.133796338 -2698085.504990468)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,MADRUGADA,COLISAO,MOTOCICLETA,18-24,19,,CONDUTOR,PUBLICO,DOMINGO,Vias Municipais,-23.595102999999998,-46.429342,AVENIDA RAGUEB CHOHFI,POINT (-5168490.70930675 -2704146.693554101)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,65-69,67,,PEDESTRE,PUBLICO,QUARTA,Vias Municipais,-23.495744000000002,-46.377634,AVENIDA DOUTOR ALMIRO LEAL DA COSTA,POINT (-5162734.601076812 -2692081.603109229)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,NOITE,COLISAO,MOTOCICLETA,40-44,41,,PASSAGEIRO,PUBLICO,TERÇA,Vias Municipais,-23.496267,-46.392523,AVENIDA MARECHAL TITO,POINT (-5164392.036975231 -2692145.086768182)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,MADRUGADA,ATROPELAMENTO,PEDESTRE,40-44,44,,PEDESTRE,PUBLICO,TERÇA,Vias Municipais,-23.497615,-46.398112,AVENIDA MARECHAL TITO,POINT (-5165014.201609276 -2692308.713115625)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,TARDE,COLISAO,BICICLETA,45-49,48,,CONDUTOR,PUBLICO,SÁBADO,Vias Municipais,-23.68398,-46.647504999999995,RUA DOMENICO ANIBAL,POINT (-5192776.50337668 -2714946.707300503)
SAO PAULO,Metropolitana de São Paulo,2017,4,ABRIL,FEMININO,NAO DISPONIVEL,ATROPELAMENTO,PEDESTRE,50-54,50,,PEDESTRE,PUBLICO,DOMINGO,Vias Municipais,-23.677139,-46.651594,RUA DOUTOR NESTOR SAMPAIO PENTEADO B,POINT (-5193231.688774535 -2714115.152884995)
SAO ROQUE,Sorocaba,2017,4,ABRIL,MASCULINO,NAO DISPONIVEL,OUTROS,AUTOMOVEL,40-44,43,,CONDUTOR,PUBLICO,SEXTA,Vias Municipais,-23.516728,-47.140729,RUA LIVIO TAGLIASSACHI,POINT (-5247681.947903705 -2694628.915813798)
SAO ROQUE,Sorocaba,2017,4,ABRIL,MASCULINO,MADRUGADA,NAO DISPONIVEL,NAO DISPONIVEL,35-39,35,,NAO DISPONIVEL,PUBLICO,SEGUNDA,Vias Municipais,-23.528317,-47.148373,AVENIDA PREFEITO BERNARDINO DE LUCA,POINT (-5248532.874091328 -2696035.914392764)
SAO ROQUE,Sorocaba,2017,4,ABRIL,MASCULINO,TARDE,OUTROS,OUTROS,50-54,52,,CONDUTOR,PUBLICO,QUARTA,Vias Municipais,-23.582407,-47.08985,ESTRADA MUNICIPAL PONTE LAVRADA BAIRRO PONTE LAVRADA,POINT (-5242018.123531632 -2702604.519187083)
